date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:04:49	273/273	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2030%20Dec%202021%2009:04:49%20GMT	https://vanholtz.co/journal/fonts/DrukWide-Medium-Web.eot?	C:/My%20Web%20Sites/Test/vanholtz.co/journal/fonts/DrukWide-Medium-Webd41d.eot	(from https://vanholtz.co/journal/collaboration/)
16:04:50	273/273	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2030%20Dec%202021%2009:04:49%20GMT	https://vanholtz.co/journal/fonts/DrukWide-Medium-Web.woff2	C:/My%20Web%20Sites/Test/vanholtz.co/journal/fonts/DrukWide-Medium-Web.woff2	(from https://vanholtz.co/journal/collaboration/)
16:04:50	273/273	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2030%20Dec%202021%2009:04:49%20GMT	https://vanholtz.co/journal/fonts/DrukWide-Medium-Web.woff	C:/My%20Web%20Sites/Test/vanholtz.co/journal/fonts/DrukWide-Medium-Web.woff	(from https://vanholtz.co/journal/collaboration/)
16:04:50	273/273	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2030%20Dec%202021%2009:04:50%20GMT	https://vanholtz.co/journal/fonts/DrukWide-Super-Web.eot	C:/My%20Web%20Sites/Test/vanholtz.co/journal/fonts/DrukWide-Super-Web.eot	(from https://vanholtz.co/journal/collaboration/)
16:04:50	273/273	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2030%20Dec%202021%2009:04:50%20GMT	https://vanholtz.co/journal/fonts/DrukWide-Super-Web.eot?	C:/My%20Web%20Sites/Test/vanholtz.co/journal/fonts/DrukWide-Super-Webd41d.eot	(from https://vanholtz.co/journal/collaboration/)
16:04:51	273/273	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2030%20Dec%202021%2009:04:50%20GMT	https://vanholtz.co/journal/fonts/DrukWide-Super-Web.woff2	C:/My%20Web%20Sites/Test/vanholtz.co/journal/fonts/DrukWide-Super-Web.woff2	(from https://vanholtz.co/journal/collaboration/)
16:04:51	273/273	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2030%20Dec%202021%2009:04:51%20GMT	https://vanholtz.co/journal/fonts/DrukWide-Super-Web.woff	C:/My%20Web%20Sites/Test/vanholtz.co/journal/fonts/DrukWide-Super-Web.woff	(from https://vanholtz.co/journal/collaboration/)
16:04:52	146995/146995	---M--	200	added ('OK')	image/jpeg	etag:%225b41c13b-23e33%22	https://vanholtz.co/img/journal/collaboration/brijan-motorcycle-man.jpg	C:/My%20Web%20Sites/Test/vanholtz.co/img/journal/collaboration/brijan-motorcycle-man.jpg	(from https://vanholtz.co/journal/collaboration/)
16:04:52	3428/3428	---M--	200	added ('OK')	image/png	etag:%225b41c13b-d64%22	https://vanholtz.co/img/journal/collaboration/logo-van_holtz_co.png	C:/My%20Web%20Sites/Test/vanholtz.co/img/journal/collaboration/logo-van_holtz_co.png	(from https://vanholtz.co/journal/collaboration/)
16:04:52	53410/53410	---M--	200	added ('OK')	image/png	etag:%225b41c13b-d0a2%22	https://vanholtz.co/img/journal/collaboration/home.png	C:/My%20Web%20Sites/Test/vanholtz.co/img/journal/collaboration/home.png	(from https://vanholtz.co/journal/collaboration/)
16:04:53	21212/21212	---M--	200	added ('OK')	image/jpeg	etag:%225b41c13b-52dc%22	https://vanholtz.co/img/journal/collaboration/journal.jpg	C:/My%20Web%20Sites/Test/vanholtz.co/img/journal/collaboration/journal.jpg	(from https://vanholtz.co/journal/collaboration/)
16:04:53	261614/261614	---M--	200	added ('OK')	image/jpeg	etag:%225c652726-3fdee%22	https://vanholtz.co/img/journal/freelance-and-company/freelance-and-company.jpg	C:/My%20Web%20Sites/Test/vanholtz.co/img/journal/freelance-and-company/freelance-and-company.jpg	(from https://vanholtz.co/journal/freelance-and-company/)
16:04:54	5154572/5154572	---M--	200	added ('OK')	video/mp4	etag:%225b41c13b-4ea70c%22	https://vanholtz.co/video/journal/collaboration/animations.mp4	C:/My%20Web%20Sites/Test/vanholtz.co/video/journal/collaboration/animations.mp4	(from https://vanholtz.co/journal/collaboration/)
16:04:54	210364/210364	---M--	200	added ('OK')	image/jpeg	etag:%225c652726-335bc%22	https://vanholtz.co/img/journal/the-one-year-plan/the-one-year-plan.jpg	C:/My%20Web%20Sites/Test/vanholtz.co/img/journal/the-one-year-plan/the-one-year-plan.jpg	(from https://vanholtz.co/journal/the-one-year-plan/)
16:04:54	163496/163496	---M--	200	added ('OK')	image/jpeg	etag:%225b41c13b-27ea8%22	https://vanholtz.co/img/journal/the-one-year-plan/eric_van_holtz-headshot.jpg	C:/My%20Web%20Sites/Test/vanholtz.co/img/journal/the-one-year-plan/eric_van_holtz-headshot.jpg	(from https://vanholtz.co/journal/the-one-year-plan/)
16:04:54	62643/62643	---M--	200	added ('OK')	image/jpeg	etag:%225b41c13b-f4b3%22	https://vanholtz.co/img/journal/the-one-year-plan/working.jpg	C:/My%20Web%20Sites/Test/vanholtz.co/img/journal/the-one-year-plan/working.jpg	(from https://vanholtz.co/journal/the-one-year-plan/)
16:04:55	64199/64199	---M--	200	added ('OK')	image/jpeg	etag:%225b41c13b-fac7%22	https://vanholtz.co/img/journal/the-one-year-plan/web-development.jpg	C:/My%20Web%20Sites/Test/vanholtz.co/img/journal/the-one-year-plan/web-development.jpg	(from https://vanholtz.co/journal/the-one-year-plan/)
16:04:55	1/1	---M--	200	added ('OK')	text/plain	etag:%2261966cf2-1%22	https://use.typekit.net/robots.txt		(from https://use.typekit.net/duo3tdm.css)
